DAP,AESI,Age in 2020,Sex,Person years,IR narrow,LL narrow,UL narrow
TEST,ARR_narrow,80+,Male,46997,6994.6,3198.37,13277.92
TEST,ARR_narrow,0-59,Female,46624,783.39,19.83,4364.8
TEST,ARR_narrow,0-59,Male,41724,0,0,3229.23
TEST,ARR_narrow,60+,Female,189520,1349.07,542.39,2779.59
TEST,ARR_narrow,60+,Male,154838,4010.16,2336.07,6420.65
TEST,ArterialNoTP,12-17,Female,366,0,0,368132.03
TEST,ArterialNoTP,12-17,Male,1830,0,0,73626.41
TEST,ArterialNoTP,18-24,Female,2196,0,0,61355.34
TEST,ArterialNoTP,18-24,Male,3294,0,0,40903.56
TEST,ArterialNoTP,25-29,Female,366,0,0,368132.03
TEST,ArterialNoTP,25-29,Male,1098,0,0,122710.68
TEST,ArterialNoTP,30-39,Female,5490,0,0,24542.14
TEST,ArterialNoTP,30-39,Male,2562,0,0,52590.29
TEST,ArterialNoTP,40-49,Female,9150,0,0,14725.28
TEST,ArterialNoTP,40-49,Male,11346,0,0,11875.23
TEST,ArterialNoTP,50-59,Female,29646,0,0,4544.84
TEST,ArterialNoTP,50-59,Male,21960,0,0,6135.53
TEST,ArterialNoTP,60-69,Female,38430,0,0,3506.02
TEST,ArterialNoTP,60-69,Male,46822,2340.25,482.61,6839.19
TEST,ArterialNoTP,70-79,Female,72737,1004.3,121.63,3627.89
TEST,ArterialNoTP,70-79,Male,63700,573.39,14.52,3194.73
TEST,ArterialNoTP,80+,Female,79562,1377.23,284.02,4024.84
TEST,ArterialNoTP,80+,Male,51064,2145.84,442.52,6271.05
TEST,ArterialNoTP,0-59,Female,47214,0,0,2853.74
TEST,ArterialNoTP,0-59,Male,42090,0,0,3201.15
TEST,ArterialNoTP,60+,Female,190729,957.51,310.9,2234.51
TEST,ArterialNoTP,60+,Male,161586,1582.28,636.16,3260.11
TEST,ArterialVTENoTP,12-17,Female,366,0,0,368132.03
TEST,ArterialVTENoTP,12-17,Male,1830,0,0,73626.41
TEST,ArterialVTENoTP,18-24,Female,2196,0,0,61355.34
TEST,ArterialVTENoTP,18-24,Male,3294,0,0,40903.56
TEST,ArterialVTENoTP,25-29,Female,366,0,0,368132.03
TEST,ArterialVTENoTP,25-29,Male,1098,0,0,122710.68
TEST,ArterialVTENoTP,30-39,Female,5490,0,0,24542.14
TEST,ArterialVTENoTP,30-39,Male,2562,0,0,52590.29
TEST,ArterialVTENoTP,40-49,Female,9150,0,0,14725.28
TEST,ArterialVTENoTP,40-49,Male,11346,0,0,11875.23
TEST,ArterialVTENoTP,50-59,Female,29646,0,0,4544.84
TEST,ArterialVTENoTP,50-59,Male,21960,0,0,6135.53
TEST,ArterialVTENoTP,60-69,Female,38430,0,0,3506.02
TEST,ArterialVTENoTP,60-69,Male,46822,2340.25,482.61,6839.19
TEST,ArterialVTENoTP,70-79,Female,72144,2025.12,551.78,5185.1
TEST,ArterialVTENoTP,70-79,Male,63334,576.7,14.6,3213.19
TEST,ArterialVTENoTP,80+,Female,78476,2327.14,755.62,5430.78
TEST,ArterialVTENoTP,80+,Male,51064,2145.84,442.52,6271.05
TEST,ArterialVTENoTP,0-59,Female,47214,0,0,2853.74
TEST,ArterialVTENoTP,0-59,Male,42090,0,0,3201.15
TEST,ArterialVTENoTP,60+,Female,189050,1738.83,795.1,3300.83
TEST,ArterialVTENoTP,60+,Male,161220,1585.88,637.6,3267.51
TEST,BP_narrow,12-17,Female,366,0,0,368132.03
TEST,BP_narrow,12-17,Male,1830,0,0,73626.41
TEST,BP_narrow,18-24,Female,2196,0,0,61355.34
TEST,BP_narrow,18-24,Male,3294,0,0,40903.56
TEST,BP_narrow,25-29,Female,366,0,0,368132.03
TEST,BP_narrow,25-29,Male,1098,0,0,122710.68
TEST,BP_narrow,30-39,Female,5490,0,0,24542.14
TEST,BP_narrow,30-39,Male,2562,0,0,52590.29
TEST,BP_narrow,40-49,Female,9150,0,0,14725.28
TEST,BP_narrow,40-49,Male,11346,0,0,11875.23
TEST,BP_narrow,50-59,Female,29646,0,0,4544.84
TEST,BP_narrow,50-59,Male,22326,0,0,6034.95
TEST,BP_narrow,60-69,Female,38430,0,0,3506.02
TEST,BP_narrow,60-69,Male,48312,0,0,2788.88
TEST,BP_narrow,70-79,Female,74298,0,0,1813.46
TEST,BP_narrow,70-79,Male,65148,0,0,2068.16
TEST,BP_narrow,80+,Female,81618,0,0,1650.82
TEST,BP_narrow,80+,Male,51972,0,0,2592.48
TEST,BP_narrow,0-59,Female,47214,0,0,2853.74
TEST,BP_narrow,0-59,Male,42456,0,0,3173.55
TEST,BP_narrow,60+,Female,194346,0,0,693.28
TEST,BP_narrow,60+,Male,165432,0,0,814.45
TEST,CAD_narrow,12-17,Female,366,0,0,368132.03
TEST,CAD_narrow,12-17,Male,1830,0,0,73626.41
TEST,CAD_narrow,18-24,Female,2196,0,0,61355.34
TEST,CAD_narrow,18-24,Male,3294,0,0,40903.56
TEST,CAD_narrow,25-29,Female,366,0,0,368132.03
TEST,CAD_narrow,25-29,Male,1098,0,0,122710.68
TEST,CAD_narrow,30-39,Female,5490,0,0,24542.14
TEST,CAD_narrow,30-39,Male,2562,0,0,52590.29
TEST,CAD_narrow,40-49,Female,9150,0,0,14725.28
TEST,CAD_narrow,40-49,Male,11346,0,0,11875.23
TEST,CAD_narrow,50-59,Female,29646,0,0,4544.84
TEST,CAD_narrow,50-59,Male,21960,0,0,6135.53
TEST,CAD_narrow,60-69,Female,38430,0,0,3506.02
TEST,CAD_narrow,60-69,Male,46822,2340.25,482.61,6839.19
TEST,CAD_narrow,70-79,Female,73103,999.27,121.02,3609.72
TEST,CAD_narrow,70-79,Male,63700,573.39,14.52,3194.73
TEST,CAD_narrow,80+,Female,80659,452.83,11.46,2523.02
TEST,CAD_narrow,80+,Male,51088,1429.89,173.17,5165.24
TEST,CAD_narrow,0-59,Female,47214,0,0,2853.74
TEST,CAD_narrow,0-59,Male,42090,0,0,3201.15
TEST,CAD_narrow,60+,Female,192192,570.13,117.58,1666.17
TEST,CAD_narrow,60+,Male,161610,1356.04,497.64,2951.53
TEST,CVSTNoTP,12-17,Female,366,0,0,368132.03
TEST,CVSTNoTP,12-17,Male,1830,0,0,73626.41
TEST,CVSTNoTP,18-24,Female,2196,0,0,61355.34
TEST,CVSTNoTP,18-24,Male,3294,0,0,40903.56
TEST,CVSTNoTP,25-29,Female,366,0,0,368132.03
TEST,CVSTNoTP,25-29,Male,1098,0,0,122710.68
TEST,CVSTNoTP,30-39,Female,5490,0,0,24542.14
TEST,CVSTNoTP,30-39,Male,2562,0,0,52590.29
TEST,CVSTNoTP,40-49,Female,8784,0,0,15338.83
TEST,CVSTNoTP,40-49,Male,11346,0,0,11875.23
TEST,CVSTNoTP,50-59,Female,29646,0,0,4544.84
TEST,CVSTNoTP,50-59,Male,22326,0,0,6034.95
TEST,CVSTNoTP,60-69,Female,38430,0,0,3506.02
TEST,CVSTNoTP,60-69,Male,48312,0,0,2788.88
TEST,CVSTNoTP,70-79,Female,74298,0,0,1813.46
TEST,CVSTNoTP,70-79,Male,65148,0,0,2068.16
TEST,CVSTNoTP,80+,Female,81618,0,0,1650.82
TEST,CVSTNoTP,80+,Male,51972,0,0,2592.48
TEST,CVSTNoTP,0-59,Female,46848,0,0,2876.03
TEST,CVSTNoTP,0-59,Male,42456,0,0,3173.55
TEST,CVSTNoTP,60+,Female,194346,0,0,693.28
TEST,CVSTNoTP,60+,Male,165432,0,0,814.45
TEST,DM1_narrow,12-17,Female,366,0,0,368132.03
TEST,DM1_narrow,12-17,Male,1830,0,0,73626.41
TEST,DM1_narrow,18-24,Female,2196,0,0,61355.34
TEST,DM1_narrow,18-24,Male,3294,0,0,40903.56
TEST,DM1_narrow,25-29,Female,366,0,0,368132.03
TEST,DM1_narrow,25-29,Male,1098,0,0,122710.68
TEST,DM1_narrow,30-39,Female,5490,0,0,24542.14
TEST,DM1_narrow,30-39,Male,2562,0,0,52590.29
TEST,DM1_narrow,40-49,Female,9150,0,0,14725.28
TEST,DM1_narrow,40-49,Male,11346,0,0,11875.23
TEST,DM1_narrow,50-59,Female,29646,0,0,4544.84
TEST,DM1_narrow,50-59,Male,22326,0,0,6034.95
TEST,DM1_narrow,60-69,Female,38430,0,0,3506.02
TEST,DM1_narrow,60-69,Male,48312,0,0,2788.88
TEST,DM1_narrow,70-79,Female,74298,0,0,1813.46
TEST,DM1_narrow,70-79,Male,65148,0,0,2068.16
TEST,DM1_narrow,80+,Female,81618,0,0,1650.82
TEST,DM1_narrow,80+,Male,51972,0,0,2592.48
TEST,DM1_narrow,0-59,Female,47214,0,0,2853.74
TEST,DM1_narrow,0-59,Male,42456,0,0,3173.55
TEST,DM1_narrow,60+,Female,194346,0,0,693.28
TEST,DM1_narrow,60+,Male,165432,0,0,814.45
TEST,GENCONV_narrow,12-17,Female,366,0,0,368132.03
TEST,GENCONV_narrow,12-17,Male,1830,0,0,73626.41
TEST,GENCONV_narrow,18-24,Female,2196,0,0,61355.34
TEST,GENCONV_narrow,18-24,Male,3294,0,0,40903.56
TEST,GENCONV_narrow,25-29,Female,366,0,0,368132.03
TEST,GENCONV_narrow,25-29,Male,1098,0,0,122710.68
TEST,GENCONV_narrow,30-39,Female,5490,0,0,24542.14
TEST,GENCONV_narrow,30-39,Male,2562,0,0,52590.29
TEST,GENCONV_narrow,40-49,Female,9120,4004.93,101.4,22314.07
TEST,GENCONV_narrow,40-49,Male,11346,0,0,11875.23
TEST,GENCONV_narrow,50-59,Female,29646,0,0,4544.84
TEST,GENCONV_narrow,50-59,Male,22326,0,0,6034.95
TEST,GENCONV_narrow,60-69,Female,38430,0,0,3506.02
TEST,GENCONV_narrow,60-69,Male,48312,0,0,2788.88
TEST,GENCONV_narrow,70-79,Female,74298,0,0,1813.46
TEST,GENCONV_narrow,70-79,Male,65148,0,0,2068.16
TEST,GENCONV_narrow,80+,Female,81618,0,0,1650.82
TEST,GENCONV_narrow,80+,Male,51972,0,0,2592.48
TEST,GENCONV_narrow,0-59,Female,47184,774.1,19.6,4312.99
TEST,GENCONV_narrow,0-59,Male,42456,0,0,3173.55
TEST,GENCONV_narrow,60+,Female,194346,0,0,693.28
TEST,GENCONV_narrow,60+,Male,165432,0,0,814.45
TEST,HF_narrow,12-17,Female,366,0,0,368132.03
TEST,HF_narrow,12-17,Male,1830,0,0,73626.41
TEST,HF_narrow,18-24,Female,2196,0,0,61355.34
TEST,HF_narrow,18-24,Male,3294,0,0,40903.56
TEST,HF_narrow,25-29,Female,366,0,0,368132.03
TEST,HF_narrow,25-29,Male,1098,0,0,122710.68
TEST,HF_narrow,30-39,Female,5490,0,0,24542.14
TEST,HF_narrow,30-39,Male,2562,0,0,52590.29
TEST,HF_narrow,40-49,Female,9150,0,0,14725.28
TEST,HF_narrow,40-49,Male,11346,0,0,11875.23
TEST,HF_narrow,50-59,Female,29280,0,0,4601.65
TEST,HF_narrow,50-59,Male,21960,0,0,6135.53
TEST,HF_narrow,60-69,Female,38430,0,0,3506.02
TEST,HF_narrow,60-69,Male,47648,766.56,19.41,4270.99
TEST,HF_narrow,70-79,Female,73867,988.94,119.77,3572.39
TEST,HF_narrow,70-79,Male,62047,588.67,14.9,3279.84
TEST,HF_narrow,80+,Female,76851,1901.08,517.98,4867.52
TEST,HF_narrow,80+,Male,50714,2880.86,784.94,7376.15
TEST,HF_narrow,0-59,Female,46848,0,0,2876.03
TEST,HF_narrow,0-59,Male,42090,0,0,3201.15
TEST,HF_narrow,60+,Female,189148,1158.62,425.19,2521.82
TEST,HF_narrow,60+,Male,160409,1366.2,501.37,2973.63
TEST,Hemostroke_narrow,12-17,Female,366,0,0,368132.03
TEST,Hemostroke_narrow,12-17,Male,1830,0,0,73626.41
TEST,Hemostroke_narrow,18-24,Female,2196,0,0,61355.34
TEST,Hemostroke_narrow,18-24,Male,3294,0,0,40903.56
TEST,Hemostroke_narrow,25-29,Female,366,0,0,368132.03
TEST,Hemostroke_narrow,25-29,Male,1098,0,0,122710.68
TEST,Hemostroke_narrow,30-39,Female,5490,0,0,24542.14
TEST,Hemostroke_narrow,30-39,Male,2562,0,0,52590.29
TEST,Hemostroke_narrow,40-49,Female,9150,0,0,14725.28
TEST,Hemostroke_narrow,40-49,Male,11346,0,0,11875.23
TEST,Hemostroke_narrow,50-59,Female,29646,0,0,4544.84
TEST,Hemostroke_narrow,50-59,Male,22326,0,0,6034.95
TEST,Hemostroke_narrow,60-69,Female,38430,0,0,3506.02
TEST,Hemostroke_narrow,60-69,Male,48312,0,0,2788.88
TEST,Hemostroke_narrow,70-79,Female,74056,493.21,12.49,2747.98
TEST,Hemostroke_narrow,70-79,Male,64782,0,0,2079.84
TEST,Hemostroke_narrow,80+,Female,81618,0,0,1650.82
TEST,Hemostroke_narrow,80+,Male,51972,0,0,2592.48
TEST,Hemostroke_narrow,0-59,Female,47214,0,0,2853.74
TEST,Hemostroke_narrow,0-59,Male,42456,0,0,3173.55
TEST,Hemostroke_narrow,60+,Female,194104,188.17,4.76,1048.43
TEST,Hemostroke_narrow,60+,Male,165066,0,0,816.26
TEST,Ischstroke_narrow,12-17,Female,366,0,0,368132.03
TEST,Ischstroke_narrow,12-17,Male,1830,0,0,73626.41
TEST,Ischstroke_narrow,18-24,Female,2196,0,0,61355.34
TEST,Ischstroke_narrow,18-24,Male,3294,0,0,40903.56
TEST,Ischstroke_narrow,25-29,Female,366,0,0,368132.03
TEST,Ischstroke_narrow,25-29,Male,1098,0,0,122710.68
TEST,Ischstroke_narrow,30-39,Female,5490,0,0,24542.14
TEST,Ischstroke_narrow,30-39,Male,2562,0,0,52590.29
TEST,Ischstroke_narrow,40-49,Female,9150,0,0,14725.28
TEST,Ischstroke_narrow,40-49,Male,11346,0,0,11875.23
TEST,Ischstroke_narrow,50-59,Female,29646,0,0,4544.84
TEST,Ischstroke_narrow,50-59,Male,22326,0,0,6034.95
TEST,Ischstroke_narrow,60-69,Female,38430,0,0,3506.02
TEST,Ischstroke_narrow,60-69,Male,48312,0,0,2788.88
TEST,Ischstroke_narrow,70-79,Female,73932,0,0,1822.44
TEST,Ischstroke_narrow,70-79,Male,65148,0,0,2068.16
TEST,Ischstroke_narrow,80+,Female,80521,907.22,109.87,3277.18
TEST,Ischstroke_narrow,80+,Male,51948,703.11,17.8,3917.46
TEST,Ischstroke_narrow,0-59,Female,47214,0,0,2853.74
TEST,Ischstroke_narrow,0-59,Male,42456,0,0,3173.55
TEST,Ischstroke_narrow,60+,Female,192883,378.73,45.87,1368.09
TEST,Ischstroke_narrow,60+,Male,165408,220.82,5.59,1230.32
TEST,MISCC_narrow,12-17,Female,366,0,0,368132.03
TEST,MISCC_narrow,12-17,Male,1830,0,0,73626.41
TEST,MISCC_narrow,18-24,Female,2196,0,0,61355.34
TEST,MISCC_narrow,18-24,Male,3294,0,0,40903.56
TEST,MISCC_narrow,25-29,Female,366,0,0,368132.03
TEST,MISCC_narrow,25-29,Male,1098,0,0,122710.68
TEST,MISCC_narrow,30-39,Female,5490,0,0,24542.14
TEST,MISCC_narrow,30-39,Male,2562,0,0,52590.29
TEST,MISCC_narrow,40-49,Female,9150,0,0,14725.28
TEST,MISCC_narrow,40-49,Male,11346,0,0,11875.23
TEST,MISCC_narrow,50-59,Female,29646,0,0,4544.84
TEST,MISCC_narrow,50-59,Male,22326,0,0,6034.95
TEST,MISCC_narrow,60-69,Female,38430,0,0,3506.02
TEST,MISCC_narrow,60-69,Male,48312,0,0,2788.88
TEST,MISCC_narrow,70-79,Female,74298,0,0,1813.46
TEST,MISCC_narrow,70-79,Male,65148,0,0,2068.16
TEST,MISCC_narrow,80+,Female,81618,0,0,1650.82
TEST,MISCC_narrow,80+,Male,51972,0,0,2592.48
TEST,MISCC_narrow,0-59,Female,47214,0,0,2853.74
TEST,MISCC_narrow,0-59,Male,42456,0,0,3173.55
TEST,MISCC_narrow,60+,Female,194346,0,0,693.28
TEST,MISCC_narrow,60+,Male,165432,0,0,814.45
TEST,MIS_KD_narrow,12-17,Female,366,0,0,368132.03
TEST,MIS_KD_narrow,12-17,Male,1830,0,0,73626.41
TEST,MIS_KD_narrow,18-24,Female,2196,0,0,61355.34
TEST,MIS_KD_narrow,18-24,Male,3294,0,0,40903.56
TEST,MIS_KD_narrow,25-29,Female,366,0,0,368132.03
TEST,MIS_KD_narrow,25-29,Male,1098,0,0,122710.68
TEST,MIS_KD_narrow,30-39,Female,5490,0,0,24542.14
TEST,MIS_KD_narrow,30-39,Male,2562,0,0,52590.29
TEST,MIS_KD_narrow,40-49,Female,9150,0,0,14725.28
TEST,MIS_KD_narrow,40-49,Male,11346,0,0,11875.23
TEST,MIS_KD_narrow,50-59,Female,29646,0,0,4544.84
TEST,MIS_KD_narrow,50-59,Male,22326,0,0,6034.95
TEST,MIS_KD_narrow,60-69,Female,38430,0,0,3506.02
TEST,MIS_KD_narrow,60-69,Male,48312,0,0,2788.88
TEST,MIS_KD_narrow,70-79,Female,74298,0,0,1813.46
TEST,MIS_KD_narrow,70-79,Male,65148,0,0,2068.16
TEST,MIS_KD_narrow,80+,Female,81618,0,0,1650.82
TEST,MIS_KD_narrow,80+,Male,51972,0,0,2592.48
TEST,MIS_KD_narrow,0-59,Female,47214,0,0,2853.74
TEST,MIS_KD_narrow,0-59,Male,42456,0,0,3173.55
TEST,MIS_KD_narrow,60+,Female,194346,0,0,693.28
TEST,MIS_KD_narrow,60+,Male,165432,0,0,814.45
TEST,MYOCARD_narrow,12-17,Female,366,0,0,368132.03
TEST,MYOCARD_narrow,12-17,Male,1830,0,0,73626.41
TEST,MYOCARD_narrow,18-24,Female,2196,0,0,61355.34
TEST,MYOCARD_narrow,18-24,Male,3294,0,0,40903.56
TEST,MYOCARD_narrow,25-29,Female,366,0,0,368132.03
TEST,MYOCARD_narrow,25-29,Male,1098,0,0,122710.68
TEST,MYOCARD_narrow,30-39,Female,5490,0,0,24542.14
TEST,MYOCARD_narrow,30-39,Male,2562,0,0,52590.29
TEST,MYOCARD_narrow,40-49,Female,9150,0,0,14725.28
TEST,MYOCARD_narrow,40-49,Male,11346,0,0,11875.23
TEST,MYOCARD_narrow,50-59,Female,29646,0,0,4544.84
TEST,MYOCARD_narrow,50-59,Male,21960,0,0,6135.53
TEST,MYOCARD_narrow,60-69,Female,38430,0,0,3506.02
TEST,MYOCARD_narrow,60-69,Male,48312,0,0,2788.88
TEST,MYOCARD_narrow,70-79,Female,73970,493.78,12.5,2751.17
TEST,MYOCARD_narrow,70-79,Male,64782,0,0,2079.84
TEST,MYOCARD_narrow,80+,Female,81618,0,0,1650.82
TEST,MYOCARD_narrow,80+,Male,51606,0,0,2610.87
TEST,MYOCARD_narrow,0-59,Female,47214,0,0,2853.74
TEST,MYOCARD_narrow,0-59,Male,42090,0,0,3201.15
TEST,MYOCARD_narrow,60+,Female,194018,188.26,4.77,1048.89
TEST,MYOCARD_narrow,60+,Male,164700,0,0,818.07
TEST,PERICARD_narrow,12-17,Female,366,0,0,368132.03
TEST,PERICARD_narrow,12-17,Male,1830,0,0,73626.41
TEST,PERICARD_narrow,18-24,Female,2196,0,0,61355.34
TEST,PERICARD_narrow,18-24,Male,3294,0,0,40903.56
TEST,PERICARD_narrow,25-29,Female,366,0,0,368132.03
TEST,PERICARD_narrow,25-29,Male,1098,0,0,122710.68
TEST,PERICARD_narrow,30-39,Female,5490,0,0,24542.14
TEST,PERICARD_narrow,30-39,Male,2562,0,0,52590.29
TEST,PERICARD_narrow,40-49,Female,9150,0,0,14725.28
TEST,PERICARD_narrow,40-49,Male,11346,0,0,11875.23
TEST,PERICARD_narrow,50-59,Female,29646,0,0,4544.84
TEST,PERICARD_narrow,50-59,Male,21960,0,0,6135.53
TEST,PERICARD_narrow,60-69,Female,38430,0,0,3506.02
TEST,PERICARD_narrow,60-69,Male,48312,0,0,2788.88
TEST,PERICARD_narrow,70-79,Female,73970,493.78,12.5,2751.17
TEST,PERICARD_narrow,70-79,Male,64782,0,0,2079.84
TEST,PERICARD_narrow,80+,Female,81618,0,0,1650.82
TEST,PERICARD_narrow,80+,Male,51606,0,0,2610.87
TEST,PERICARD_narrow,0-59,Female,47214,0,0,2853.74
TEST,PERICARD_narrow,0-59,Male,42090,0,0,3201.15
TEST,PERICARD_narrow,60+,Female,194018,188.26,4.77,1048.89
TEST,PERICARD_narrow,60+,Male,164700,0,0,818.07
TEST,Sinusthrom_narrow,12-17,Female,366,0,0,368132.03
TEST,Sinusthrom_narrow,12-17,Male,1830,0,0,73626.41
TEST,Sinusthrom_narrow,18-24,Female,2196,0,0,61355.34
TEST,Sinusthrom_narrow,18-24,Male,3294,0,0,40903.56
TEST,Sinusthrom_narrow,25-29,Female,366,0,0,368132.03
TEST,Sinusthrom_narrow,25-29,Male,1098,0,0,122710.68
TEST,Sinusthrom_narrow,30-39,Female,5490,0,0,24542.14
TEST,Sinusthrom_narrow,30-39,Male,2562,0,0,52590.29
TEST,Sinusthrom_narrow,40-49,Female,8784,0,0,15338.83
TEST,Sinusthrom_narrow,40-49,Male,11346,0,0,11875.23
TEST,Sinusthrom_narrow,50-59,Female,29646,0,0,4544.84
TEST,Sinusthrom_narrow,50-59,Male,22326,0,0,6034.95
TEST,Sinusthrom_narrow,60-69,Female,38430,0,0,3506.02
TEST,Sinusthrom_narrow,60-69,Male,48312,0,0,2788.88
TEST,Sinusthrom_narrow,70-79,Female,74298,0,0,1813.46
TEST,Sinusthrom_narrow,70-79,Male,65148,0,0,2068.16
TEST,Sinusthrom_narrow,80+,Female,81618,0,0,1650.82
TEST,Sinusthrom_narrow,80+,Male,51972,0,0,2592.48
TEST,Sinusthrom_narrow,0-59,Female,46848,0,0,2876.03
TEST,Sinusthrom_narrow,0-59,Male,42456,0,0,3173.55
TEST,Sinusthrom_narrow,60+,Female,194346,0,0,693.28
TEST,Sinusthrom_narrow,60+,Male,165432,0,0,814.45
TEST,TP_narrow,12-17,Female,366,0,0,368132.03
TEST,TP_narrow,12-17,Male,1830,0,0,73626.41
TEST,TP_narrow,18-24,Female,2196,0,0,61355.34
TEST,TP_narrow,18-24,Male,3294,0,0,40903.56
TEST,TP_narrow,25-29,Female,366,0,0,368132.03
TEST,TP_narrow,25-29,Male,1098,0,0,122710.68
TEST,TP_narrow,30-39,Female,5490,0,0,24542.14
TEST,TP_narrow,30-39,Male,2562,0,0,52590.29
TEST,TP_narrow,40-49,Female,9150,0,0,14725.28
TEST,TP_narrow,40-49,Male,11346,0,0,11875.23
